,body,climate_control,color,cruise_control,defects,door_count,driver_side,drivetrain,electric_windows,engine,engine_power,first_registration_country,fuel,gear_count,gearbox,gps,inspection,leather_seats,manufacturer,model,price,seats,year
10358,avant,1.0,,,,4/5,1.0,FWD,1.0,2.0l.,100.0,,diesel,6.0,0.0,,2019-11,,Volkswagen,Passat,2500,5.0,2006
10359,hatchback,,,,,4/5,1.0,AWD,,2.0l.,83.0,D,diesel,5.0,0.0,,2021-04,,Hyundai,Santa Fe,2500,5.0,2003
10360,sedan,1.0,,,,4/5,1.0,,1.0,2.2l.,,,diesel,,1.0,1.0,,,Mercedes-Benz,220,2500,,2004
10361,suv,1.0,,,,4/5,1.0,AWD,1.0,2.5l.,103.0,D,diesel,5.0,0.0,,,1.0,Kia,Sorento,2500,5.0,2004
10362,avant,1.0,,1.0,,4/5,1.0,AWD,1.0,2.5l.,132.0,,diesel,6.0,0.0,,2021-04,1.0,Audi,A4,2500,,2003
10363,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.8l.,132.0,,petrol,5.0,0.0,,2020-02,1.0,Skoda,Octavia,2500,5.0,2002
10364,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,,0.0,,2019-07,,Toyota,Avensis,2500,5.0,2004
10365,hatchback,,,,,4/5,1.0,FWD,,1.8l.,90.0,,petrol,5.0,0.0,,,,Opel,Vectra,2500,5.0,2005
10366,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.7l.,92.0,FR,diesel,6.0,0.0,,,1.0,Opel,Corsa,2500,5.0,2008
10367,suv,,,,Gearbox,4/5,1.0,AWD,,4.4l.,210.0,,petrol/lpg,5.0,1.0,,2020-09,,BMW,X5,2500,5.0,2001
10368,avant,1.0,,,,4/5,1.0,FWD,1.0,2.2l.,130.0,,diesel,6.0,0.0,,2020-10,,Toyota,Avensis,2500,5.0,2006
10369,suv,1.0,,,,4/5,1.0,,1.0,2.7l.,,,diesel,,0.0,,,,Ssangyong,REXTON,2500,,2005
10370,hatchback,1.0,,,,4/5,1.0,FWD,1.0,1.4l.,57.0,D,diesel,,0.0,1.0,,,Audi,A2,2500,5.0,2002
10371,suv,,,,,4/5,1.0,AWD,1.0,2.5l.,85.0,LT,diesel,6.0,0.0,,,,Mitsubishi,Pajero Sport,2500,5.0,2006
10372,avant,,,,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,5.0,0.0,,2020-08,,Toyota,Avensis,2500,5.0,2004
10373,other,1.0,,,,4/5,1.0,FWD,1.0,2.0l.,85.0,,diesel,5.0,0.0,1.0,2020-06,,Toyota,Corolla Verso,2500,7.0,2005
10374,avant,1.0,,1.0,,4/5,1.0,AWD,1.0,2.5l.,132.0,D,diesel,5.0,1.0,1.0,,1.0,Audi,A6,2500,5.0,2004
